Site ID,Lat,Long,Depth(ft),Depth(m),,Nearest MOP,Mop lat,Mop lon,Mop depth,Distance to mop (nm),Shore Normal (deg),Site,Transect,Notes
ABUR_1,34.40035,-119.7445833,25.5,7.7724,,B0279,34.3997,-119.745,10.01,0.04412,202,ABUR,1,
ABUR_2,34.40046667,-119.7443833,22,6.7056,,B0278,34.3996,-119.7441,10,0.05386,205,ABUR,2,
ABUR_3,34.39971667,-119.7448167,,,,B0279,34.3996,-119.7441,10,0.00913,202,ABUR,3,
LTEAQ7,34.4674,-120.1177833,35,10.668,,B0662,34.4671,-120.1174,10.09,0.02614,199,AQUE,7,
LTECP9,34.39111667,-119.5411167,25,7.62,,B0065,34.3901,-119.5431,10,0.1156,214,CARP,9,
LTEMK3,34.3938,-119.7294833,26,7.9248,,B0263,34.3935,-119.729,10,0.02994,192,MOHK,3,
LTENP9,34.4221,-119.9514333,25,7.62,,B0492,34.431,-119.9488,10.1,0.54967,173,NAPL,9,
LTRAB1,34.40011667,-119.7443833,25.5,7.7724,,B0278,34.3996,-119.7441,10,0.03403,205,ABUR,1,
LTRAB2,34.40043333,-119.7448,22,6.7056,,B0279,34.3997,-119.745,10.01,0.0451,202,ABUR,2,
LTRAH1,34.47186667,-120.1443833,20,6.096,,B0688,34.4709,-120.1439,10.01,0.06273,177,AHND,1,
LTRAH2,34.47176667,-120.14085,25,7.62,,B0685,34.4706,-120.1409,10.01,0.07004,181,AHND,2,
LTRAQ1,34.46878333,-120.1214167,24,7.3152,,B0666,34.4681,-120.1214,10.02,0.04101,195,AQUE,1,
LTRAQ2,34.46873333,-120.1207833,24,7.3152,,B0666,34.4681,-120.1214,10.02,0.04873,195,AQUE,2,
LTRAQ3,34.46793333,-120.1192833,30,9.144,,B0664,34.4673,-120.1196,10,0.0411,198,AQUE,3,
LTRAQ4,34.46746667,-120.1171833,23,7.0104,,B0662,34.4671,-120.1174,10.01,0.02447,199,AQUE,4,
LTRAQ5,34.46685,-120.11735,33,10.0584,,B0662,34.4671,-120.1174,10.01,0.0152,199,AQUE,5,
LTRAQ6,34.46755,-120.12085,33,10.0584,,B0665,34.4678,-120.1205,10.01,0.02291,198,AQUE,6,
LTRAQ7,34.46743333,-120.1178333,35,10.668,,B0663,34.4673,-120.118,10,0.02915,198,AQUE,7,
LTRBL1,34.45888333,-120.3334333,18,5.4864,,B0871,34.4562,-120.3319,10,0.17798,138,BULL,1,
LTRBL3,34.45848333,-120.3334833,20,6.096,,B0871,34.4562,-120.3319,10,0.15781,138,BULL,3,
LTRBL6,34.45815,-120.33355,24,7.3152,,B0871,34.4562,-120.3319,10,0.14266,138,BULL,6,
LTRCP1,34.39241667,-119.5438,10,3.048,,B0065,34.3901,-119.5431,10,0.14326,214,CARP,1,
LTRCP2,34.39276667,-119.5403667,11.5,3.5052,,B0065,34.3901,-119.5431,10,0.20956,214,CARP,2,
LTRCP3,34.39151667,-119.544,24,7.3152,,B0065,34.3901,-119.5431,10,0.09597,214,CARP,3,
LTRCP4,34.39171667,-119.54165,22,6.7056,,B0065,34.3901,-119.5431,10,0.12068,214,CARP,4,
LTRCP5,34.39181667,-119.5393167,20,6.096,,B0064,34.3895,-119.5383,10,0.14783,190,CARP,5,
LTRCP6,34.39111667,-119.5441333,27,8.2296,,B0065,34.3901,-119.5431,10,0.07961,214,CARP,6,
LTRCP7,34.39123333,-119.5418333,27,8.2296,,B0065,34.3901,-119.5431,10,0.09251,214,CARP,7,
LTRCP8,34.3914,-119.5395333,27,8.2296,,B0064,34.3895,-119.5383,10,0.12932,190,CARP,8,
LTRCP9,34.39111667,-119.5411167,27,8.2296,,B0065,34.3901,-119.5431,10,0.1156,214,CARP,9,
LTRGB1,34.41378333,-119.8224,18,5.4864,,B0354,34.4099,-119.8204,10,0.25316,176,GOLB,1,
LTRGB2,34.41365,-119.8218,18,5.4864,,B0354,34.4099,-119.8204,10,0.23543,176,GOLB,2,
LTRMK1,34.39433333,-119.73,24,7.3152,,B0264,34.394,-119.7303,10,0.02491,198,MOHK,1,
