site,iso_date,max_hs_daily,avg_hs_daily,stddev_hs_daily,avg_tp_daily,stddev_tp_daily,n_daily
B0064,2002-07-26,0.59,0.57,0.01,5.23,0.27,6
B0064,2002-07-27,0.71,0.50,0.15,9.75,3.98,24
B0064,2002-07-28,0.40,0.36,0.02,12.17,1.59,24
B0064,2002-07-29,0.59,0.50,0.05,11.92,0.69,24
B0064,2002-07-30,0.88,0.57,0.18,9.11,2.36,24
B0064,2002-07-31,0.59,0.49,0.06,12.62,3.30,24
B0064,2002-08-01,0.74,0.58,0.10,7.83,3.82,24
B0064,2002-08-02,0.90,0.64,0.19,8.37,4.60,24
B0064,2002-08-03,0.50,0.38,0.08,12.32,3.42,24
B0064,2002-08-04,0.44,0.35,0.05,13.33,0.00,23
B0064,2002-08-05,0.74,0.53,0.12,6.85,3.34,24
B0064,2002-08-06,0.58,0.45,0.08,7.02,3.73,24
B0064,2002-08-07,0.57,0.48,0.06,5.35,0.34,21
B0064,2002-08-20,0.42,0.41,0.01,13.33,0.00,6
B0064,2002-08-21,0.58,0.44,0.10,10.66,3.86,24
B0064,2002-08-22,0.65,0.51,0.09,11.39,5.37,24
B0064,2002-08-23,0.63,0.53,0.05,10.39,5.19,24
B0064,2002-08-24,0.82,0.66,0.11,9.76,5.55,24
B0064,2002-08-25,0.82,0.68,0.09,8.78,4.25,24
B0064,2002-08-26,0.92,0.79,0.07,12.34,1.46,24
B0064,2002-08-27,1.00,0.68,0.19,9.50,2.71,24
B0064,2002-08-28,0.51,0.48,0.02,11.30,3.25,24
B0064,2002-08-29,0.48,0.40,0.04,13.40,2.64,24
B0064,2002-08-30,0.49,0.41,0.05,14.14,0.48,24
B0064,2002-08-31,0.52,0.44,0.05,14.13,1.54,24
B0064,2002-09-01,0.59,0.53,0.03,6.66,3.66,24
B0064,2002-09-02,0.66,0.53,0.09,6.46,3.14,24
B0064,2002-09-03,0.45,0.35,0.04,13.26,0.23,24
B0064,2002-09-04,0.72,0.50,0.12,8.58,3.47,24
B0064,2002-09-05,0.70,0.62,0.06,12.43,0.62,24
B0064,2002-09-06,0.89,0.72,0.06,10.86,1.27,24
B0064,2002-09-07,0.95,0.75,0.18,5.67,0.92,24
B0064,2002-09-08,0.85,0.61,0.16,6.92,3.02,24
B0064,2002-09-09,0.63,0.53,0.08,12.23,5.10,24
B0064,2002-09-10,0.43,0.38,0.02,16.67,0.00,18
B0064,2002-10-23,0.53,0.50,0.02,10.65,0.26,5
B0064,2002-10-24,0.63,0.51,0.07,10.84,1.34,24
B0064,2002-10-25,0.49,0.40,0.08,10.94,0.33,24
B0064,2002-10-26,0.70,0.34,0.13,12.81,2.30,24
B0064,2002-10-27,0.89,0.60,0.14,10.41,0.68,24
B0064,2002-10-28,0.56,0.45,0.07,11.11,2.86,24
B0064,2002-10-29,0.47,0.44,0.02,15.82,0.76,24
B0064,2002-10-30,0.52,0.47,0.03,18.65,1.03,24
B0064,2002-10-31,0.55,0.49,0.05,16.10,0.89,24
B0064,2002-11-01,0.52,0.45,0.05,11.73,1.69,24
