"Year","Site","Transect","stipe_density"
2001,"ABUR","1",13.875
2001,"ABUR","2",0
2001,"AHND","1",0.025
2001,"AHND","2",1.2125
2001,"BULL","1",0.075
2001,"BULL","3",0.3
2001,"BULL","6",0
2001,"CARP","1",3.925
2001,"CARP","2",0
2001,"CARP","3",0
2001,"CARP","4",0
2001,"CARP","5",0
2001,"CARP","6",0
2001,"CARP","7",0
2001,"CARP","8",0
2001,"GOLB","1",11.1375
2001,"GOLB","2",6.1875
2001,"IVEE","1",1.3625
2001,"IVEE","2",2.375
2001,"MOHK","1",12.8
2001,"MOHK","2",7.525
2001,"NAPL","1",0
2001,"NAPL","2",0
2001,"NAPL","3",0
2001,"NAPL","4",0
2001,"NAPL","5",0.025
2001,"NAPL","6",0
2001,"NAPL","7",0
2001,"NAPL","8",0
2002,"ABUR","1",8.5125
2002,"ABUR","2",0.3875
2002,"AHND","1",0
2002,"AHND","2",4.375
2002,"AQUE","1",13.1
2002,"AQUE","2",9.1375
2002,"AQUE","3",17.425
2002,"AQUE","4",6.1625
2002,"AQUE","5",9.925
2002,"AQUE","6",9.175
2002,"BULL","1",3.9375
2002,"BULL","3",2.5125
2002,"BULL","6",0.625
2002,"CARP","1",17.475
2002,"CARP","2",0
2002,"CARP","3",0
2002,"CARP","4",0
2002,"CARP","5",0
2002,"CARP","6",0
2002,"CARP","7",0.15
2002,"CARP","8",0
2002,"GOLB","1",7.1625
2002,"GOLB","2",11.5125
2002,"IVEE","1",2.9625
2002,"IVEE","2",1.1875
2002,"MOHK","1",3.9375
2002,"MOHK","2",18.2125
2002,"NAPL","1",0.6
2002,"NAPL","2",0.8625
2002,"NAPL","3",0.075
2002,"NAPL","4",0
2002,"NAPL","5",0.675
2002,"NAPL","6",0
2002,"NAPL","7",0.8625
2002,"NAPL","8",0.1
2003,"ABUR","1",0.6
2003,"ABUR","2",0
2003,"AHND","1",0
2003,"AHND","2",3.1125
2003,"AQUE","1",15.0125
2003,"AQUE","2",14.925
2003,"AQUE","3",13
2003,"AQUE","4",6.7125
2003,"AQUE","5",10.0875
2003,"AQUE","6",12.6375
