"interval_year","site","mean_temp_c","max_mean_temp_c","min_mean_temp_c"
2002,"AQUE",12.839,12.839,12.839
2002,"CARP",13.7782,13.7782,13.7782
2002,"MOHK",13.4667,13.4667,13.4667
2002,"NAPL",12.897,12.897,12.897
2003,"ABUR",14.277,14.277,14.277
2003,"AHND",14.2279,14.2279,14.2279
2003,"AQUE",14.1918,14.1918,14.1918
2003,"BULL",12.7433,12.7433,12.7433
2003,"CARP",14.9418,14.9418,14.9418
2003,"GOLB",14.6693,14.6693,14.6693
2003,"IVEE",14.0192,14.0192,14.0192
2003,"MOHK",14.8638,14.8638,14.8638
2003,"NAPL",14.5363,14.5363,14.5363
2004,"ABUR",14.6055,14.6055,14.6055
2004,"AHND",14.7334,14.7334,14.7334
2004,"AQUE",14.4324,14.4324,14.4324
2004,"BULL",14.2925,14.2925,14.2925
2004,"CARP",15.2463,15.2463,15.2463
2004,"GOLB",15.2355,15.2355,15.2355
2004,"IVEE",14.3346,14.3346,14.3346
2004,"MOHK",15.0287,15.0287,15.0287
2004,"NAPL",14.8364,14.8364,14.8364
2005,"ABUR",14.8766,14.8766,14.8766
2005,"AHND",15.0859,15.0859,15.0859
2005,"AQUE",14.9814,14.9814,14.9814
2005,"BULL",14.6784,14.6784,14.6784
2005,"CARP",15.5598,15.5598,15.5598
2005,"GOLB",15.5074,15.5074,15.5074
2005,"IVEE",14.8179,14.8179,14.8179
2005,"MOHK",15.2674,15.2674,15.2674
2005,"NAPL",15.1553,15.1553,15.1553
2005,"SCDI",14.9224,14.9224,14.9224
2005,"SCTW",15.6657,15.6657,15.6657
2006,"ABUR",14.2019,14.2019,14.2019
2006,"AHND",14.3318,14.3318,14.3318
2006,"AQUE",14.3433,14.3433,14.3433
2006,"BULL",14.2229,14.2229,14.2229
2006,"CARP",14.8193,14.8193,14.8193
2006,"GOLB",14.8146,14.8146,14.8146
2006,"IVEE",14.0705,14.0705,14.0705
2006,"MOHK",14.6573,14.6573,14.6573
2006,"NAPL",14.2988,14.2988,14.2988
2006,"SCDI",14.6072,14.6072,14.6072
2006,"SCTW",14.994,14.994,14.994
2007,"ABUR",14.5712,14.5712,14.5712
2007,"AHND",14.5474,14.5474,14.5474
2007,"AQUE",14.8509,14.8509,14.8509
2007,"BULL",14.3756,14.3756,14.3756
2007,"CARP",15.2523,15.2523,15.2523
2007,"GOLB",15.1048,15.1048,15.1048
2007,"IVEE",12.9462,12.9462,12.9462
2007,"MOHK",14.9583,14.9583,14.9583
2007,"NAPL",14.7046,14.7046,14.7046
2007,"SCDI",14.9809,14.9809,14.9809
2007,"SCTW",15.2998,15.2998,15.2998
2008,"ABUR",13.7576,13.7576,13.7576
2008,"AHND",13.5385,13.5385,13.5385
2008,"AQUE",13.9026,13.9026,13.9026
2008,"BULL",13.297,13.297,13.297
2008,"CARP",14.1198,14.1198,14.1198
