"Year","Month","Day","site","mean_temp_c","max_temp_c","min_temp_c"
2002,3,27,"CARP",12.0029,12.42,11.43
2002,3,27,"MOHK",11.5245,11.92,11.17
2002,3,28,"AQUE",11.3132,12.03,11.14
2002,3,28,"CARP",11.9513,12.84,11.26
2002,3,28,"MOHK",11.5833,12.44,10.92
2002,3,28,"NAPL",10.8926,11.51,10.66
2002,3,29,"AQUE",11.2206,11.75,10.8
2002,3,29,"CARP",11.8965,12.42,11.38
2002,3,29,"MOHK",11.7371,12.03,11.17
2002,3,29,"NAPL",11.1297,11.86,10.74
2002,3,30,"AQUE",11.3688,12.11,10.97
2002,3,30,"CARP",12.0524,12.42,11.6
2002,3,30,"MOHK",11.8097,12.21,11.24
2002,3,30,"NAPL",11.4951,11.86,11.17
2002,3,31,"AQUE",11.568,11.86,11.14
2002,3,31,"CARP",12.193,12.59,11.69
2002,3,31,"MOHK",11.8639,12.55,11.24
2002,3,31,"NAPL",11.6052,11.86,11.34
2002,4,1,"AQUE",11.7948,12.11,11.14
2002,4,1,"CARP",12.2905,12.76,11.69
2002,4,1,"MOHK",11.8559,12.38,11.32
2002,4,1,"NAPL",11.6632,12.12,11.34
2002,4,2,"AQUE",11.8398,12.11,11.4
2002,4,2,"CARP",12.1754,12.67,11.87
2002,4,2,"MOHK",11.91,12.29,11.32
2002,4,2,"NAPL",11.6426,12.12,11.08
2002,4,3,"AQUE",11.7962,12.28,11.14
2002,4,3,"CARP",12.0276,12.42,11.6
2002,4,3,"MOHK",11.8744,12.29,11.49
2002,4,3,"NAPL",11.5678,11.95,11.17
2002,4,4,"AQUE",11.8387,12.46,11.23
2002,4,4,"CARP",12.2886,13.18,11.87
2002,4,4,"MOHK",11.9011,12.52,11.49
2002,4,4,"NAPL",11.8065,12.28,11.34
2002,4,5,"AQUE",11.8422,12.46,11.4
2002,4,5,"CARP",12.4552,13.18,11.95
2002,4,5,"MOHK",12.0759,12.96,11.75
2002,4,5,"NAPL",12.0455,12.89,11.17
2002,4,6,"AQUE",11.7329,12.28,11.23
2002,4,6,"CARP",12.7767,13.44,12.12
2002,4,6,"MOHK",12.2823,12.89,11.41
2002,4,6,"NAPL",12.0215,12.55,11.34
2002,4,7,"AQUE",11.3503,11.94,10.97
2002,4,7,"CARP",13.2712,13.61,12.59
2002,4,7,"MOHK",12.1629,12.89,11.24
2002,4,7,"NAPL",11.507,12.28,10.74
2002,4,8,"AQUE",11.5448,12.8,10.72
2002,4,8,"CARP",13.1959,13.61,12.89
2002,4,8,"MOHK",12.6627,13.07,12.09
2002,4,8,"NAPL",11.8994,12.55,11.26
2002,4,9,"AQUE",12.0037,12.71,11.49
2002,4,9,"CARP",13.5084,14.27,12.89
2002,4,9,"MOHK",13.2203,14.01,12.87
2002,4,9,"NAPL",12.3963,13.32,11.86
2002,4,10,"AQUE",12.2082,13.22,11.66
2002,4,10,"CARP",14.0602,14.73,13.41
2002,4,10,"MOHK",13.6012,14.36,12.78
2002,4,10,"NAPL",13.1066,13.49,12.54
2002,4,11,"AQUE",13.1767,14.08,12.27
2002,4,11,"CARP",14.0685,14.56,13.41
2002,4,11,"MOHK",13.6804,14.36,12.96
2002,4,11,"NAPL",13.3685,13.83,12.54
2002,4,12,"AQUE",13.6285,13.99,13.13
2002,4,12,"CARP",14.3528,14.65,13.5
2002,4,12,"MOHK",14.1526,14.67,13.41
2002,4,12,"NAPL",13.3994,13.83,12.37
2002,4,13,"AQUE",13.8778,14.17,13.14
2002,4,13,"CARP",14.4223,14.99,13.76
2002,4,13,"MOHK",13.9995,14.53,12.89
2002,4,13,"NAPL",13.7045,14.26,12.72
2002,4,14,"AQUE",14.0128,14.51,12.96
2002,4,14,"CARP",14.3985,14.99,13.79
2002,4,14,"MOHK",13.8099,14.32,13.24
2002,4,14,"NAPL",13.7392,14.18,12.72
2002,4,15,"AQUE",12.6137,14.26,11.49
2002,4,15,"CARP",14.8314,15.34,13.92
2002,4,15,"MOHK",13.5945,14.36,12.69
2002,4,15,"NAPL",13.2965,14.01,11.26
2002,4,16,"AQUE",11.4177,12.37,10.46
2002,4,16,"CARP",14.6286,15.58,13.58
2002,4,16,"MOHK",13.5091,14.88,12.61
2002,4,16,"NAPL",12.1811,13.14,11.25
2002,4,17,"AQUE",11.7725,12.79,10.72
2002,4,17,"CARP",14.2962,15.17,13.33
2002,4,17,"MOHK",13.1921,13.84,12.35
2002,4,17,"NAPL",12.618,13.32,11.08
2002,4,18,"AQUE",10.8723,11.16,10.46
2002,4,18,"CARP",13.9956,14.91,12.98
2002,4,18,"MOHK",12.939,14.01,12.27
2002,4,18,"NAPL",12.0155,12.89,10.99
2002,4,19,"AQUE",11.3331,12.8,10.72
2002,4,19,"CARP",13.2892,13.7,12.72
2002,4,19,"MOHK",12.8338,13.84,11.49
2002,4,19,"NAPL",12.1634,12.89,10.91
2002,4,20,"AQUE",11.9936,13.22,11.14
2002,4,20,"CARP",12.632,14.13,11.69
2002,4,20,"MOHK",12.2767,13.75,11.24
2002,4,20,"NAPL",12.0217,13.06,10.99
2002,4,21,"AQUE",12.715,13.31,12.11
2002,4,21,"CARP",12.9674,13.96,12.33
2002,4,21,"MOHK",12.963,14.32,12.09
2002,4,21,"NAPL",12.7734,13.4,12.02
2002,4,22,"AQUE",12.8917,13.65,11.92
2002,4,22,"CARP",13.4241,14.73,12.64
2002,4,22,"MOHK",12.9019,14.01,11.75
2002,4,22,"NAPL",12.8051,13.91,11.94
2002,4,23,"AQUE",13.1075,14.34,11.86
2002,4,23,"CARP",13.6471,14.73,12.64
2002,4,23,"MOHK",13.072,14.32,11.86
2002,4,23,"NAPL",12.9694,13.83,12.03
2002,4,24,"AQUE",12.7847,13.65,11.75
2002,4,24,"CARP",13.8158,15.25,12.21
2002,4,24,"MOHK",12.9756,13.97,12.27
2002,4,24,"NAPL",12.7118,13.4,11.94
2002,4,25,"AQUE",12.3968,13.99,11.66
2002,4,25,"CARP",13.7241,14.48,12.81
2002,4,25,"MOHK",12.6792,14.09,11.75
2002,4,25,"NAPL",12.1463,13.23,11.34
2002,4,26,"AQUE",11.5875,12.03,11.23
2002,4,26,"CARP",13.5627,14.39,12.38
2002,4,26,"MOHK",12.6424,13.41,11.41
2002,4,26,"NAPL",11.6013,12.63,11
