"Year","Month","site","mean_temp_c","max_temp_c","min_temp_c"
2002,3,"AQUE",11.3752,12.11,10.8
2002,3,"CARP",12.021,12.84,11.26
2002,3,"MOHK",11.7272,12.55,10.92
2002,3,"NAPL",11.3474,11.86,10.66
2002,4,"AQUE",12.0591,14.51,10.04
2002,4,"CARP",13.2777,15.58,11.08
2002,4,"MOHK",12.6966,14.88,10.47
2002,4,"NAPL",12.2407,14.26,9.97
2002,5,"AQUE",12.324,15.03,9.87
2002,5,"CARP",13.4816,15.94,11.03
2002,5,"MOHK",13.0625,16.06,10.56
2002,5,"NAPL",12.436,15.12,10.14
2002,6,"AQUE",15.5977,19.2,11.92
2002,6,"CARP",16.3325,19.66,13.67
2002,6,"MOHK",16.3805,19.83,12.55
2002,6,"NAPL",15.5639,19.19,11.77
2002,7,"AQUE",16.1586,18.38,12.87
2002,7,"CARP",17.213,19.84,14.56
2002,7,"MOHK",16.896,18.98,13.15
2002,7,"NAPL",16.325,18.73,12.81
2002,8,"ABUR",14.7091,17.7,12.76
2002,8,"AQUE",15.1762,18.11,12.79
2002,8,"CARP",15.2351,19.04,12.98
2002,8,"GOLB",15.2261,17.51,13.31
2002,8,"IVEE",13.7958,16.05,11.76
2002,8,"MOHK",15.2432,18.13,12.44
2002,8,"NAPL",15.0662,17.84,12.37
2002,9,"ABUR",14.6117,17.08,12.42
2002,9,"AHND",15.2853,16.28,13.43
2002,9,"AQUE",14.7646,17.23,12.18
2002,9,"CARP",14.8779,17.1,12.91
2002,9,"GOLB",15.501,17.94,12.79
2002,9,"IVEE",14.2796,17.01,12.02
2002,9,"MOHK",15.1917,17.58,12.72
2002,9,"NAPL",14.7844,17.11,12.18
2002,10,"ABUR",15.4016,17.26,13.36
2002,10,"AHND",15.4408,17.34,13.43
2002,10,"AQUE",15.316,16.79,12.87
2002,10,"CARP",15.8514,17.54,14.22
2002,10,"GOLB",15.9171,17.68,14.33
2002,10,"IVEE",15.1229,17.13,12.62
