"interval_year","mop","mean_waveheight","max_waveheight","mean_max_waveheight"
2001,"B0662",0.613582,2.41,0.718939
2001,"B0663",0.606636,2.4,0.710439
2001,"B0664",0.629238,2.48,0.736303
2001,"B0665",0.606872,2.39,0.71028
2001,"B0666",0.590844,2.35,0.692032
2001,"B0685",0.563791,2.33,0.66193
2001,"B0688",0.540842,2.28,0.635745
2001,"B0871",0.647973,2.47,0.769411
2002,"B0354",0.464,0.62,0.536
2002,"B0394",0.718,0.94,0.842
2002,"B0492",0.796,1,0.92
2002,"B0494",0.852,1.07,0.982
2002,"B0662",0.522116,1.47,0.597065
2002,"B0663",0.51504,1.45,0.589464
2002,"B0664",0.53521,1.5,0.612351
2002,"B0665",0.515487,1.44,0.589921
2002,"B0666",0.501324,1.41,0.573648
2002,"B0685",0.476541,1.47,0.544062
2002,"B0688",0.456483,1.44,0.52137
2002,"B0871",0.542803,2.06,0.626863
2003,"B0064",0.578013,1.7,0.716231
2003,"B0065",0.620027,1.87,0.767617
2003,"B0279",0.649005,1.69,0.803977
2003,"B0354",0.42865,1.47,0.529237
2003,"B0394",0.66371,1.76,0.822723
2003,"B0492",0.735931,2.02,0.905148
2003,"B0494",0.777386,2.16,0.955412
2003,"B0662",0.592209,1.95,0.715666
2003,"B0663",0.58467,1.96,0.706795
2003,"B0664",0.60628,2.03,0.731363
2003,"B0665",0.583785,1.96,0.704288
2003,"B0666",0.566272,1.92,0.682354
2003,"B0685",0.527936,1.94,0.631063
2003,"B0688",0.504122,1.9,0.602099
2003,"B0871",0.626947,2.22,0.730486
2004,"B0064",0.570231,1.49,0.694764
2004,"B0065",0.610448,1.69,0.743487
2004,"B0279",0.655534,1.39,0.787883
2004,"B0354",0.414302,1.18,0.507254
2004,"B0394",0.648559,1.66,0.799004
2004,"B0492",0.717019,1.93,0.877938
2004,"B0494",0.75891,2.11,0.928114
2004,"B0662",0.570714,1.6,0.685513
2004,"B0663",0.563475,1.57,0.677253
2004,"B0664",0.584174,1.63,0.700765
2004,"B0665",0.562443,1.56,0.674136
2004,"B0666",0.544928,1.54,0.652259
2004,"B0685",0.50456,1.4,0.599583
2004,"B0688",0.479863,1.36,0.569843
2004,"B0871",0.588118,1.95,0.680586
2005,"B0064",0.538456,1.62,0.676394
2005,"B0065",0.574297,1.77,0.720432
2005,"B0279",0.598947,1.98,0.75361
2005,"B0354",0.418327,1.59,0.526335
2005,"B0394",0.632485,2.05,0.792514
2005,"B0492",0.699415,2.31,0.867613
2005,"B0494",0.737648,2.54,0.912475
2005,"B0662",0.581672,2,0.706857
2005,"B0663",0.574798,1.99,0.700041
2005,"B0664",0.595348,2.07,0.723129
2005,"B0665",0.573961,1.99,0.697027
2005,"B0666",0.557323,1.93,0.676459
2005,"B0685",0.523464,1.87,0.631494
2005,"B0688",0.501642,1.82,0.604135
2005,"B0871",0.619338,2.55,0.726403
2006,"B0064",0.519698,1.58,0.635115
2006,"B0065",0.55524,1.67,0.677044
2006,"B0263",0.707177,2.04,0.858767
2006,"B0264",0.717786,2.04,0.870168
2006,"B0278",0.64766,1.88,0.787213
2006,"B0279",0.599821,1.89,0.731787
2006,"B0354",0.422909,2.38,0.519687
2006,"B0394",0.658749,3.08,0.80828
2006,"B0492",0.72867,3.13,0.888977
2006,"B0494",0.771947,3.32,0.940899
2006,"B0662",0.582484,1.97,0.698261
2006,"B0663",0.574836,1.95,0.689358
2006,"B0664",0.596616,2.01,0.713783
2006,"B0665",0.574117,1.95,0.686497
2006,"B0666",0.556465,1.91,0.665195
2006,"B0685",0.517155,1.91,0.613314
2006,"B0688",0.494252,1.87,0.5848
2006,"B0871",0.617208,2.33,0.714854
2007,"B0064",0.563566,1.47,0.696239
2007,"B0065",0.6033,1.56,0.744547
2007,"B0263",0.696014,1.75,0.852983
2007,"B0264",0.706343,1.77,0.864937
2007,"B0278",0.636662,1.61,0.781611
2007,"B0279",0.63746,1.62,0.783961
2007,"B0354",0.416293,1.13,0.505551
