"Year","Month","mop","mean_waveheight","max_waveheight","mean_max_waveheight"
2001,1,"B0662",0.805806,2.2,0.951613
2001,1,"B0663",0.797419,2.19,0.942258
2001,1,"B0664",0.824839,2.25,0.972903
2001,1,"B0665",0.790968,2.18,0.933226
2001,1,"B0666",0.773226,2.14,0.912903
2001,1,"B0685",0.723548,2.07,0.854516
2001,1,"B0688",0.699355,2.02,0.827742
2001,1,"B0871",0.81871,2.08,0.985484
2001,2,"B0662",0.736429,1.65,0.898214
2001,2,"B0663",0.73,1.63,0.892857
2001,2,"B0664",0.756429,1.69,0.920357
2001,2,"B0665",0.727857,1.62,0.890357
2001,2,"B0666",0.710357,1.57,0.87
2001,2,"B0685",0.680357,1.48,0.841786
2001,2,"B0688",0.657857,1.44,0.817857
2001,2,"B0871",0.739643,1.74,0.9275
2001,3,"B0662",0.694839,2.41,0.835161
2001,3,"B0663",0.688065,2.4,0.825806
2001,3,"B0664",0.713548,2.48,0.856774
2001,3,"B0665",0.687419,2.39,0.824194
2001,3,"B0666",0.670323,2.35,0.804516
2001,3,"B0685",0.642581,2.33,0.774194
2001,3,"B0688",0.62,2.28,0.747419
2001,3,"B0871",0.737742,2.47,0.892903
2001,4,"B0662",0.562333,1,0.653
2001,4,"B0663",0.555,0.99,0.644
2001,4,"B0664",0.575333,1.03,0.667667
2001,4,"B0665",0.555,0.98,0.643333
2001,4,"B0666",0.537,0.94,0.621667
2001,4,"B0685",0.504667,0.84,0.581333
2001,4,"B0688",0.48,0.81,0.551333
2001,4,"B0871",0.583,0.96,0.678
2001,5,"B0662",0.477419,0.92,0.530645
2001,5,"B0663",0.47,0.91,0.51871
2001,5,"B0664",0.491613,0.95,0.546452
2001,5,"B0665",0.480323,0.91,0.532903
2001,5,"B0666",0.465161,0.88,0.516774
2001,5,"B0685",0.462258,0.81,0.517419
2001,5,"B0688",0.434839,0.77,0.486452
2001,5,"B0871",0.597742,1.18,0.682581
2001,6,"B0662",0.404667,0.58,0.445
2001,6,"B0663",0.399333,0.57,0.439
2001,6,"B0664",0.413667,0.59,0.453667
2001,6,"B0665",0.399667,0.57,0.437667
2001,6,"B0666",0.389,0.55,0.426333
