"Entry","Study","Region","Site","Depth.m","Sample.ID","Sample.Year","Sample.Month","Sample.Day","Latitude","Longitude","Taxon","Fixed.or.Random","Sample.Unit.Size.sq.m","Percent.Cover","Stipe.Density.num.per.sq.m","Individual.Density.num.per.sq.m","Biomass.kg.wet.per.sq.m"
1,"sbc_lter_longterm_community",NA,"ABUR",6.9,"1.20.I.20",2001,8,NA,34.40035,-119.7445833,"Egregia menziesii","Fixed",20,NA,0.15,0.15,NA
2,"sbc_lter_longterm_community",NA,"ABUR",6.9,"1.20.I.20",2001,8,NA,34.40035,-119.7445833,"Eisenia arborea","Fixed",20,NA,0,0,NA
3,"sbc_lter_longterm_community",NA,"ABUR",6.9,"1.20.I.20",2001,8,NA,34.40035,-119.7445833,"Laminaria farlowii","Fixed",20,NA,0,0,NA
4,"sbc_lter_longterm_community",NA,"ABUR",6.9,"1.20.I.20",2001,8,NA,34.40035,-119.7445833,"Macrocystis pyrifera","Fixed",20,NA,29.15,0.3,NA
5,"sbc_lter_longterm_community",NA,"ABUR",6.9,"1.20.I.20",2001,8,NA,34.40035,-119.7445833,"Pterygophora californica","Fixed",20,NA,0.3,0.3,NA
6,"sbc_lter_longterm_community",NA,"ABUR",6.9,"1.20.I.20",2002,8,NA,34.40035,-119.7445833,"Egregia menziesii","Fixed",20,NA,0,0,NA
7,"sbc_lter_longterm_community",NA,"ABUR",6.9,"1.20.I.20",2002,8,NA,34.40035,-119.7445833,"Eisenia arborea","Fixed",20,NA,0,0,NA
8,"sbc_lter_longterm_community",NA,"ABUR",6.9,"1.20.I.20",2002,8,NA,34.40035,-119.7445833,"Laminaria farlowii","Fixed",20,NA,0,0,NA
9,"sbc_lter_longterm_community",NA,"ABUR",6.9,"1.20.I.20",2002,8,NA,34.40035,-119.7445833,"Macrocystis pyrifera","Fixed",20,NA,9.9,0.15,NA
10,"sbc_lter_longterm_community",NA,"ABUR",6.9,"1.20.I.20",2002,8,NA,34.40035,-119.7445833,"Pterygophora californica","Fixed",20,NA,0.55,0.55,NA
11,"sbc_lter_longterm_community",NA,"ABUR",6.9,"1.20.I.20",2003,8,NA,34.40035,-119.7445833,"Egregia menziesii","Fixed",20,NA,0,0,NA
12,"sbc_lter_longterm_community",NA,"ABUR",6.9,"1.20.I.20",2003,8,NA,34.40035,-119.7445833,"Eisenia arborea","Fixed",20,NA,0,0,NA
